"DCODE","DISTNAME","DISTCOUNTY","CC","AVG_FTE","RNK_FTE","LOCREV","AVG_LOCREV","RNK_LOCREV","STREV","AVG_STREV","RNK_STREV","FEDREV","AVG_FEDREV","RNK_FEDREV","TOTREV","AVG_TOTREV","RNK_TOTREV","BASINS","AVG_BASINS","RNK_BASINS","ADDINS","AVG_ADDINS","RNK_ADDINS","AEINS","AVG_AEINS","RNK_AEINS","ITOT","AVG_ITOT","RNK_ITOT","ISAL","AVG_ISAL","RNK_ISAL","ISSUP","AVG_ISSUP","RNK_ISSUP","ADM","AVG_ADM","RNK_ADM","FACACQ","AVG_FACACQ","RNK_FACACQ","OPNMNT","AVG_OPNMNT","RNK_OPNMNT","TRANS","AVG_TRANS","RNK_TRANS","SSTOT","AVG_SSTOT","RNK_SSTOT","SSSAL","AVG_SSSAL","RNK_SSSAL","COE","AVG_COE","RNK_COE","TOTEXP","AVG_TOTEXP","RNK_TOTEXP","T_SAL","AVG_T_SAL","RNK_T_SAL","HSEV","AVG_HSEV","RNK_HSEV","NHSEV","AVG_NHSEV","RNK_NHSEV","P_TCHR","AVG_P_TCHR","RNK_P_TCH","GROUP","AEPUPILS_A","AEPUPILS_S"
"62040","FREMONT PUBLIC SCHOOL DISTRICT","NEWAYGO COUNTY","62",2390.23,192,3346468.17,1400,348,15128735.90,6329,500,1897712.90,794,371,20410047.54,8539,485,9906077.31,4192,381,3791099.21,1604,87,23167.84,852,128,13720344.36,5740,189,13084790.55,5474,159,920944.79,385,557,2258229.91,945,642,0.00,0,0,1540971.08,645,724,777743.32,325,443,5497889.10,2300,749,3293391.67,1378,561,19218233.46,8040,514,20366646.30,8521,507,6281585.24,61308,137,267790821,112036,366,116805594,48868,340,102.46,23,532,"J",17.51,9.69
"62050","GRANT PUBLIC SCHOOL DISTRICT","NEWAYGO COUNTY","62",2509.79,183,1662744.31,663,554,15941664.76,6352,488,2106340.00,839,338,19889836.12,7925,733,9392292.14,4011,473,3114773.58,1330,182,744440.76,4421,47,13251506.48,5280,369,12757906.61,5083,274,1050487.86,419,521,2258396.60,900,690,0.00,0,0,1940954.28,773,607,1126331.41,449,235,6376170.15,2541,690,4895698.29,1951,355,19627676.63,7820,589,20763773.09,8273,591,5769162.96,68113,53,183341318,73050,504,44354686,17673,538,84.70,28,742,"I",142.00,26.40
"62060","HESPERIA COMMUNITY SCHOOLS","NEWAYGO COUNTY","62",1244.62,340,1031832.81,829,508,7793907.01,6262,513,1172566.94,942,255,10004460.83,8038,696,4926470.17,4283,320,1453494.69,1264,216,133942.11,1418,114,6513906.97,5234,388,6209000.48,4989,332,498405.51,400,540,1046971.44,841,738,0.00,0,0,834060.98,670,705,519861.27,418,292,2899299.20,2329,745,2072286.84,1665,500,9413206.17,7563,672,9829671.95,7898,707,3112507.75,56560,265,83561834,67138,512,44458556,35721,427,55.03,21,327,"L",65.49,29.00
"62070","NEWAYGO PUBLIC SCHOOL DISTRICT","NEWAYGO COUNTY","62",1949.09,225,3013210.45,1546,310,11550087.40,5926,591,1503793.14,772,397,16067090.99,8243,608,8831600.34,4673,143,2126346.06,1125,302,98518.25,1670,100,11056464.65,5673,211,10516486.11,5396,177,789924.81,405,536,1989832.88,1021,564,0.00,0,0,1397983.83,717,670,842486.04,432,262,5020227.56,2576,683,3463956.23,1777,449,16076692.21,8248,440,16421252.24,8425,537,5456967.43,59921,174,191691991,98349,432,132598016,68031,249,91.07,21,327,"K",33.00,26.00
"62090","WHITE CLOUD PUBLIC SCHOOLS","NEWAYGO COUNTY","62",1163.06,356,1911957.37,1644,289,7093757.01,6099,564,1542201.32,1326,132,10592571.91,9108,298,4958574.84,4263,332,1963804.48,1688,69,0.00,0,0,6922379.32,5952,147,6518937.67,5605,132,549182.74,472,467,1261364.06,1085,493,0.00,0,0,863603.36,743,639,755898.16,650,53,3430048.32,2949,503,2007554.10,1726,474,10352427.64,8901,242,10726315.24,9222,279,2924505.04,66617,63,92490985,79524,491,80777492,69453,243,43.90,26,715,"L",0.00,0.00
"62470","BIG JACKSON SCHOOL DISTRICT","NEWAYGO COUNTY","62",37.00,753,191190.85,5167,62,89677.90,2424,733,51656.01,1396,118,337100.76,9111,297,126957.38,3431,624,27519.24,744,600,0.00,0,0,154476.62,4175,653,131607.45,3557,588,0.00,0,0,83010.03,2244,115,0.00,0,0,33614.53,909,414,54809.29,1481,10,171433.85,4633,130,89754.52,2426,138,325910.47,8808,263,345174.59,9329,258,67897.00,16974,599,9756524,263690,45,10465039,282839,48,4.00,9,15,"N",0.00,0.00
"63010","BIRMINGHAM CITY SCHOOL DISTRICT","OAKLAND COUNTY","63",8080.31,36,56223359.09,6958,39,46674027.47,5776,611,4984678.76,617,595,108933499.32,13481,34,50069651.41,6229,33,10512480.84,1308,193,60919.26,1450,111,60643051.51,7505,35,57268039.71,7087,29,13362911.89,1654,26,11196149.44,1386,296,0.00,0,0,11805346.02,1461,135,3328261.58,412,305,39692668.93,4912,105,25098855.62,3106,48,100335720.44,12417,37,108330258.98,13407,37,31187677.93,75890,11,3857659701,477415,11,1078310614,133449,106,410.96,20,227,"D",20.50,21.50
"63020","FERNDALE PUBLIC SCHOOLS","OAKLAND COUNTY","63",4541.18,81,7363728.96,1622,294,29108771.54,6410,462,5710967.15,1258,146,42487984.73,9356,240,14765687.35,3662,592,4725337.65,1172,269,762340.37,1499,110,20253365.37,4460,616,18462462.10,4066,570,4906947.03,1081,110,6288008.17,1385,297,0.00,0,0,5626919.75,1239,188,1396346.54,307,466,18218221.49,4012,200,13414180.66,2954,70,38471586.86,8472,360,41854646.55,9217,281,8896022.26,53314,366,521125477,114756,350,225038113,49555,334,166.86,24,621,"E",249.62,258.93
"63030","PONTIAC CITY SCHOOL DISTRICT","OAKLAND COUNTY","63",7299.69,39,49146838.01,6733,45,14526747.92,1990,741,19376517.53,2654,21,84608862.85,11591,63,37794504.98,5199,72,12754575.04,1755,60,606170.93,19842,15,51155250.95,7008,51,45162603.71,6187,57,15168176.63,2078,12,13824743.10,1894,172,0.00,0,0,9850130.98,1349,161,4228812.18,579,90,43071862.89,5901,40,24030728.08,3292,38,94227113.84,12908,31,97796724.49,13397,38,18865224.32,64651,86,1016775172,139290,243,2295948083,314527,43,291.80,25,688,"D",18.85,11.70
"63040","SCHOOL DISTRICT OF THE CITY OF ROYAL OAK","OAKLAND COUNTY","63",5449.19,65,25576165.71,4694,70,29574837.90,5427,648,3955457.40,726,451,59106461.01,10847,91,27684302.42,5160,75,5906758.42,1101,318,216168.33,2588,71,33807229.17,6204,102,31297937.09,5744,106,7180935.67,1318,57,6876624.87,1262,347,0.00,0,0,5982108.69,1098,251,1516568.03,278,505,21556237.26,3956,209,16613945.54,3049,56,55363466.43,10160,99,64881608.03,11907,62,17841292.64,73755,19,1627063979,298588,37,791805840,145307,98,241.90,22,421,"D",46.75,36.78
"63050","BERKLEY SCHOOL DISTRICT","OAKLAND COUNTY","63",4468.33,83,5246688.78,1174,403,32850404.53,7352,156,3459112.58,774,395,41556205.89,9300,254,20400788.35,4630,161,5051484.06,1146,288,180608.56,2928,64,25632880.97,5737,191,24513226.98,5486,157,5303428.51,1187,82,5468761.42,1224,375,0.00,0,0,4262898.34,954,354,933995.19,209,551,15969083.46,3574,268,11834874.84,2649,103,41601964.43,9310,181,42636876.47,9542,213,12951462.97,60671,151,833142105,186455,117,168597353,37732,409,213.47,21,327,"F",30.09,31.59
"63060","SOUTHFIELD PUBLIC SCHOOL DISTRICT","OAKLAND COUNTY","63",8797.47,29,76419512.22,8687,28,41885900.04,4761,689,8243040.55,937,257,127385238.83,14480,30,57973341.94,6590,28,20430555.76,2322,20,0.00,0,0,78403897.70,8912,19,72849859.12,8281,17,15833216.19,1800,21,16328526.10,1856,179,187262.19,21,13,10783303.99,1226,196,5472930.23,622,61,48417976.51,5504,58,29842862.52,3392,31,126821874.21,14416,21,129367833.15,14705,26,34446213.64,75314,14,1384436591,157368,181,1869198389,212470,65,457.37,19,173,"D",0.00,0.00
"63070","AVONDALE SCHOOL DISTRICT","OAKLAND COUNTY","63",3824.80,99,13103440.16,3426,97,22455922.04,5871,600,2347493.90,614,600,37946856.10,9921,151,19260765.30,5036,88,4916716.59,1285,205,0.00,0,0,24177481.89,6321,87,23438755.32,6128,58,3955382.95,1034,122,4405524.30,1152,426,0.00,0,0,3556796.65,930,384,1031181.06,270,510,12948884.96,3386,319,8055842.30,2106,257,37126366.85,9707,137,37655611.57,9845,165,12451089.03,72310,29,808466560,211375,81,507613436,132716,107,172.19,22,421,"G",0.00,0.00
