District Code,District Name,Elementary,Middle School,High School
33070,Holt Public Schools,Yes,Yes,No
61120,Holton Public Schools,Yes,Yes,Yes
13080,Homer Community Schools,Yes,Yes,Yes
82957,Hope of Detroit Academy,Yes,Yes,No
03070,Hopkins Public Schools,Yes,Yes,Yes
31110,Houghton-Portage Township Schools,Yes,Yes,Yes
47070,Howell Public Schools,Yes,Yes,Yes
46080,Hudson Area Schools,Yes,Yes,Yes
70190,Hudsonville Public School District,Yes,Yes,Yes
82340,Huron School District,Yes,Yes,Yes
63220,Huron Valley Schools,Yes,Yes,No
58070,Ida Public School District,Yes,Yes,Yes
44060,Imlay City Community Schools,Yes,Yes,Yes
33000,Ingham ISD,No,No,Yes
16050,Inland Lakes Schools,Yes,Yes,Yes
34010,Ionia Public Schools,Yes,Yes,No
22010,Iron Mountain Public Schools,Yes,Yes,No
27020,Ironwood Area Schools,Yes,Yes,No
52180,Ishpeming Public School District,No,Yes,Yes
29060,Ithaca Public Schools,Yes,Yes,Yes
38170,Jackson Public Schools,Yes,No,No
58080,Jefferson Schools (Monroe),Yes,Yes,Yes
70175,Jenison Public Schools,Yes,Yes,Yes
69030,Johannesburg-Lewiston Area Schools,Yes,Yes,Yes
30030,Jonesville Community Schools,Yes,Yes,No
82958,Joy Preparatory Academy,Yes,Yes,-
39010,Kalamazoo Public School District,Yes,No,No
51045,Kaleva Norman Dickson School District,Yes,Yes,Yes
40040,Kalkaska Public Schools,Yes,Yes,No
25110,Kearsley Community Schools,Yes,Yes,Yes
41140,Kelloggsville Public Schools,Yes,Yes,No
41145,Kenowa Hills Public Schools,Yes,Yes,Yes
41150,Kent City Community Schools,Yes,Yes,Yes
41160,Kentwood Public Schools,Yes,Yes,Yes
28090,Kingsley Area Schools,Yes,Yes,Yes
79080,Kingston Community School District,Yes,Yes,Yes
07040,L'Anse Area Schools,Yes,Yes,Yes
50140,L'Anse Creuse Public Schools,Yes,Yes,No
78040,Laingsburg Community School District,Yes,Yes,Yes
57020,Lake City Area School District,Yes,Yes,Yes
25200,Lake Fenton Community Schools,Yes,Yes,Yes
31130,Lake Linden-Hubbell School District,Yes,Yes,Yes
63230,Lake Orion Community Schools,Yes,Yes,Yes
50120,Lake Shore Public Schools (Macomb),Yes,Yes,Yes
11030,Lakeshore School District (Berrien),Yes,Yes,Yes
59090,Lakeview Community Schools (Montcalm),Yes,Yes,Yes
50130,Lakeview Public Schools (Macomb),Yes,Yes,No
13090,Lakeview Sch. District (Calhoun),Yes,Yes,No
25280,LakeVille Community Schools,Yes,Yes,Yes
34090,Lakewood Public Schools,Yes,Yes,Yes
63280,Lamphere Public Schools,Yes,Yes,Yes
33020,Lansing Public School District,Yes,Yes,No
44010,Lapeer Community Schools,Yes,Yes,Yes
80130,Lawrence Public School District,Yes,No,Yes
80140,Lawton Community School District,Yes,Yes,Yes
49040,Les Cheneaux Community Schools,Yes,Yes,Yes
33100,Leslie Public Schools,Yes,Yes,Yes
81070,Lincoln Consolidated School District,Yes,Yes,Yes
82090,Lincoln Park Public Schools,Yes,No,Yes
25250,Linden Community Schools,Yes,Yes,Yes
30040,Litchfield Community Schools,Yes,Yes,No
82095,Livonia Public Schools,Yes,Yes,Yes
41170,Lowell Area Schools,Yes,Yes,No
53040,Ludington Area School District,Yes,Yes,Yes
46090,Madison School District (Lenawee),Yes,Yes,Yes
05070,Mancelona Public Schools,Yes,Yes,Yes
81080,Manchester Community Schools,Yes,Yes,Yes
51070,Manistee Area Schools,Yes,Yes,Yes
77010,Manistique Area Schools,Yes,Yes,No
83060,Manton Consolidated Schools,Yes,Yes,Yes
23065,Maple Valley Schools,Yes,Yes,No
14050,Marcellus Community Schools,Yes,Yes,Yes
67050,Marion Public Schools,Yes,Yes,Yes
76140,Marlette Community Schools,Yes,No,Yes
52170,Marquette Area Public Schools,Yes,Yes,No
13110,Marshall Public Schools,Yes,Yes,No
03060,Martin Public Schools,Yes,Yes,Yes
82924,Marvin L. Winans Academy of Performing Arts,Yes,Yes,Yes
74100,Marysville Public Schools,Yes,Yes,Yes
58090,Mason Consolidated Schools (Monroe),Yes,Yes,Yes
53010,Mason County Central Schools,Yes,Yes,Yes
53020,Mason County Eastern Schools,Yes,Yes,Yes
33130,Mason Public Schools (Ingham),Yes,Yes,Yes
80150,Mattawan Consolidated School,Yes,Yes,Yes
79090,Mayville Community School District,Yes,Yes,Yes
57030,McBain Rural Agricultural Schools,Yes,Yes,Yes
82045,Melvindale-North Allen Park Schools,Yes,Yes,Yes
74120,Memphis Community Schools,Yes,Yes,Yes
75060,Mendon Community School District,Yes,Yes,Yes
55100,Menominee Area Public Schools,Yes,Yes,Yes
56050,Meridian Public Schools,Yes,Yes,Yes
73230,Merrill Community Schools,Yes,Yes,Yes
83070,Mesick Consolidated Schools,Yes,Yes,Yes
38120,Michigan Center School District,Yes,No,Yes
82907,Michigan Technical Academy,Yes,Yes,No
56010,Midland Public Schools,Yes,Yes,Yes
81100,Milan Area Schools,Yes,Yes,Yes
79100,Millington Community Schools,Yes,Yes,Yes
68010,Mio-AuSable Schools,Yes,Yes,Yes
61060,Mona Shores Public School District,Yes,Yes,Yes
58010,Monroe Public Schools,Yes,Yes,No
59045,Montabella Community Schools,Yes,Yes,Yes
61180,Montague Area Public Schools,Yes,Yes,Yes
59000,Montcalm Area ISD,No,No,Yes
25260,Montrose Community Schools,Yes,Yes,No
46100,Morenci Area Schools,Yes,Yes,Yes
54040,Morley Stanwood Community Schools,Yes,Yes,No
78060,Morrice Area Schools,Yes,Yes,Yes
50160,Mt. Clemens Community School District,No,No,Yes
25040,Mt. Morris Consolidated Schools,Yes,Yes,No
37010,Mt. Pleasant City School District,Yes,Yes,Yes
