ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
38,Jackson ISD,38901,Da Vinci Institute,08244,Da Vinci Institute (9-12),No,Identified for Restructuring - Planning,High School
39,Kalamazoo RESA,39000,Kalamazoo RESA,07289,Valley Center School,No,Identified for Restructuring - Planning,Spec Ed Center
39,Kalamazoo RESA,39010,Kalamazoo Public School District,02275,Loy Norrix High School,Yes,Identified for Restructuring - Planning,High School
39,Kalamazoo RESA,39010,Kalamazoo Public School District,02575,Milwood Middle School,No,Corrective Action,Middle School
39,Kalamazoo RESA,39010,Kalamazoo Public School District,03518,Maple Street Magnet School for the Arts,No,Identified for Restructuring - Implementation,Middle School
39,Kalamazoo RESA,39010,Kalamazoo Public School District,04737,Phoenix Alternative High School,No,Corrective Action,Alternative School
39,Kalamazoo RESA,39020,Climax-Scotts Community Schools,00723,Climax-Scotts High School,Yes,Identified for Improvement - Year One,Middle/High School
39,Kalamazoo RESA,39030,Comstock Public Schools,05038,Comstock Compass High School,No,Identified for Improvement - Year One,High School
39,Kalamazoo RESA,39130,Parchment School District,00201,Barclay Hills Education Center,No,Identified for Restructuring - Implementation,Alternative School
39,Kalamazoo RESA,39140,Portage Public Schools,02561,Portage Community High School,No,Identified for Restructuring - Implementation,Alternative School
28,Traverse Bay Area ISD,40040,Kalkaska Public Schools,08597,Northside Educational Center,No,Identified for Restructuring - Planning,High School
41,Kent ISD,41010,Grand Rapids Public Schools,02223,Lincoln School,Yes,Corrective Action,Spec Ed Center
41,Kent ISD,41010,Grand Rapids Public Schools,02806,Kent Educ Center--Oakleigh,Yes,Identified for Restructuring - Planning,Spec Ed Center
41,Kent ISD,41010,Grand Rapids Public Schools,04251,Union High School,Yes,Identified for Restructuring - Planning,High School
41,Kent ISD,41010,Grand Rapids Public Schools,05839,Park School,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,06434,Kent Education Center--Mayfield,No,Corrective Action,Spec Ed Center
41,Kent ISD,41010,Grand Rapids Public Schools,06741,Lincoln Developmental Center,No,Corrective Action,Spec Ed Center
41,Kent ISD,41010,Grand Rapids Public Schools,08236,Ottawa Community School,-,Corrective Action,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,08362,Adelante High School,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,08366,Southeast Career Pathways,No,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,08367,Central Community School,No,Identified for Improvement - Year One,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,08923,Union Community School,-,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,08949,Northwest Career Pathways,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41010,Grand Rapids Public Schools,09285,Harrison Middle School,Yes,Identified for Improvement - Year Two,Middle School
41,Kent ISD,41020,Godwin Heights Public Schools,08423,Godwin Heights Learning Center,-,Corrective Action,Alternative School
41,Kent ISD,41025,Northview Public School District,07694,Northview Alternative High School,No,Corrective Action,Alternative School
41,Kent ISD,41026,Wyoming Public Schools,00736,Wyoming Community Educ. Center,-,Identified for Restructuring - Planning,Elementary
41,Kent ISD,41026,Wyoming Public Schools,03253,Rogers High School,Yes,Identified for Improvement - Year Two,High School
41,Kent ISD,41070,Cedar Springs Public Schools,08033,New Beginnings Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41080,Comstock Park Public Schools,07061,North Kent High School,No,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41120,Godfrey-Lee Public Schools,07210,Vision Quest Alternative H.S.,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41130,Grandville Public Schools,07062,Grandville Orion High School,No,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41140,Kelloggsville Public Schools,03308,Discovery Alternative H.S.,No,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41160,Kentwood Public Schools,05927,Wedgwood Campus,No,Identified for Restructuring - Implementation,Elementary
41,Kent ISD,41160,Kentwood Public Schools,08172,Crossroads Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
41,Kent ISD,41170,Lowell Area Schools,05387,Unity Alternative School,-,Identified for Restructuring - Planning,Alternative School
41,Kent ISD,41240,Sparta Area Schools,04787,Englishville School,Yes,Identified for Improvement - Year One,Alternative School
44,Lapeer ISD,44000,Lapeer ISD,06544,Lapeer Co. Education and Technology  Center,No,Identified for Improvement - Year One,K-12 School
44,Lapeer ISD,44010,Lapeer Community Schools,07468,Lapeer Community High School,No,Identified for Restructuring - Implementation,Alternative School
44,Lapeer ISD,44060,Imlay City Community Schools,07729,Venture High School,No,Corrective Action,Alternative School
46,Lenawee ISD,46000,Lenawee ISD,00565,Milton C. Porter Ed. Center,No,Corrective Action,Spec Ed Center
46,Lenawee ISD,46000,Lenawee ISD,08863,Holy Cross Children's Services (Boysville),No,Identified for Restructuring - Implementation,Alternative School
46,Lenawee ISD,46010,Adrian City School District,00027,Adrian High School,No,Identified for Restructuring - Planning,High School
46,Lenawee ISD,46140,Tecumseh Public Schools,04143,Tecumseh High School,Yes,Identified for Improvement - Year Two,High School
46,Lenawee ISD,46140,Tecumseh Public Schools,08548,Tecumseh Options Institute,-,Identified for Improvement - Year One,Alternative School
47,Livingston ESA,47000,Livingston ESA,03613,Pathway School,No,Identified for Improvement - Year Two,Spec Ed Center
47,Livingston ESA,47010,Brighton Area Schools,00402,Brighton High School,No,Identified for Improvement - Year Two,High School
47,Livingston ESA,47060,Hartland Consolidated Schools,05150,Alternative Education,No,Identified for Restructuring - Implementation,Middle/High School
47,Livingston ESA,47901,Kensington Woods High School,08248,Kensington Woods High School,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50000,Macomb ISD,01363,Keith Bovenschen School,No,Identified for Improvement - Year Two,Spec Ed Center
50,Macomb ISD,50000,Macomb ISD,01376,Neil E. Reid High School,Yes,Corrective Action,Spec Ed Center
50,Macomb ISD,50000,Macomb ISD,08395,Bozymowski Center,No,Identified for Improvement - Year One,Spec Ed Center
50,Macomb ISD,50020,East Detroit Public Schools,01003,East Detroit High School,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50020,East Detroit Public Schools,08184,Kellwood  School (Alternative),No,Identified for Restructuring - Implementation,Alternative School
50,Macomb ISD,50030,Roseville Community Schools,01070,Guest Community Ed. Center,No,Identified for Restructuring - Implementation,Alternative School
50,Macomb ISD,50030,Roseville Community Schools,05596,Roseville High School,Yes,Corrective Action,High School
50,Macomb ISD,50070,Clintondale Community Schools,00731,Clintondale High School,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50070,Clintondale Community Schools,07669,Continuing Education Center,No,Identified for Restructuring - Planning,Alternative School
50,Macomb ISD,50080,Chippewa Valley Schools,00679,Chippewa Valley High School,Yes,Identified for Improvement - Year Two,High School
50,Macomb ISD,50080,Chippewa Valley Schools,07984,Chippewa Valley Adult and Mohegan Alt. Educ.,No,Identified for Restructuring - Planning,Alternative School
50,Macomb ISD,50090,Fitzgerald Public Schools,01242,Fitzgerald Senior High School,Yes,Identified for Restructuring - Planning,K-12 School
